CGV|Caiguna|AU|-32.266667|125.466667
CNS|Cairns|AU|-16.883333|145.750000
CUD|Caloundra|AU|-26.800000|153.150000
CDU|Camden|AU|-34.040278|150.687222
CFI|Camfield|AU|-17.150000|131.350000
CML|Camooweal|AU|-19.916667|138.133333
CBR|Canberra|AU|-35.306944|149.195000
CBY|Canobie|AU|-19.633333|140.916667
CBI|Cape Barren Island|AU|-31.983333|132.150000
CQP|Cape Flattery|AU|-18.200000|147.500000
CRY|Carlton Hill|AU|-15.700000|128.500000
CVQ|Carnarvon|AU|-24.883333|113.666667
CFP|Carpentaria Downs|AU|-18.783333|144.350000
CTR|Cattle Creek|AU|-17.583333|131.000000
CED|Ceduna|AU|-32.133333|133.683333
CES|Cessnock|AU|-32.083333|151.083333
CTL|Charleville|AU|-26.416667|146.266667
CXT|Charters Towers|AU|-20.050000|146.266667
CBC|Cherrabun|AU|-18.666667|125.366667
CRH|Cherribah|AU|-27.650000|151.950000
LLG|Chillagoe|AU|-17.133333|144.533333
CCL|Chinchilla|AU|-26.783333|150.616667
CXQ|Christmas Creek|AU|-18.916667|125.916667
KAH|Melbourne|AU|-37.716667|145.000000
CMQ|Clermont|AU|-22.866667|147.500000
CVC|Cleve|AU|-33.700000|136.500000
CFH|Clifton Hills|AU|-26.516667|139.450000
CNJ|Cloncurry|AU|-20.668611|140.504444
CZY|Cluny|AU|-24.500000|139.500000
CAZ|Cobar|AU|-31.533333|145.800000
CNC|Coconut Island|AU|-10.050000|143.066667
CUQ|Coen|AU|-13.783333|143.116667
CFS|Coffs Harbour|AU|-30.320556|153.116389
XCO|Colac|AU|-38.333333|143.583333
CRB|Collarenebri|AU|-29.525833|148.575833
CIE|Collie|AU|-33.350000|116.150000
KCE|Collinsville|AU|-20.550000|147.866667
CBX|Condobolin|AU|-33.066667|147.200000
AYQ|Ayers Rock|AU|-25.333333|131.033333
CPD|Coober Pedy|AU|-29.050000|134.750000
CDA|Cooinda|AU|-12.900000|132.516667
CTN|Cooktown|AU|-15.450000|145.183333
CLH|Coolah|AU|-31.833333|149.700000
COY|Coolawanyah|AU|-21.800000|117.766667
COB|Coolibah|AU|-15.666667|130.966667
OOM|Cooma|AU|-36.300000|148.966667
COJ|Coonabarabran|AU|-31.333333|149.266667
CNB|Coonamble|AU|-30.983333|148.383333
CRJ|Coorabie|AU|-31.900000|132.300000
CMD|Cootamundra|AU|-34.633333|148.050000
ODL|Cordillo Downs|AU|-26.833333|140.750000
CWW|Corowa|AU|-35.983333|146.350000
CYG|Corryong|AU|-36.250000|147.900000
CWR|Cowarie|AU|-27.716667|138.333333
CCW|Cowell|AU|-33.666667|136.900000
CWT|Cowra|AU|-33.850000|148.650000
CSD|Cresswell Downs|AU|-17.966667|135.916667
CKI|Croker Island|AU|-11.083333|132.500000
CDQ|Croydon|AU|-18.300000|142.250000
CUG|Cudal|AU|-33.300000|148.702778
CUY|Cue|AU|-27.450000|117.916667
CMA|Cunnamulla|AU|-28.033333|145.616667
DBY|Dalby|AU|-27.155278|151.267222
